Execution,clock,current_position_x,current_position_y,target_position_x,target_position_y,move_x,move_y
1,2280,320.0,395.0,0,0,0,-5
1,2297,320.0,395.0,0,0,0,0
1,2313,320.0,395.0,0,0,0,0
1,2330,320.0,395.0,0,0,0,0
1,2347,320.0,395.0,0,0,0,0
1,2364,320.0,395.0,0,0,0,0
1,2381,320.0,395.0,0,0,0,0
1,2398,320.0,395.0,0,0,0,0
1,2415,315.0,395.0,0,0,-5,0
1,2432,310.0,395.0,0,0,-5,0
1,2449,305.0,395.0,0,0,-5,0
1,2466,300.0,395.0,0,0,-5,0
1,2483,295.0,395.0,0,0,-5,0
1,2500,290.0,395.0,0,0,-5,0
1,2517,285.0,395.0,0,0,-5,0
1,2534,280.0,395.0,0,0,-5,0
1,2551,280.0,395.0,0,0,0,0
1,2568,280.0,395.0,0,0,0,0
1,2586,280.0,395.0,0,0,0,0
1,2603,280.0,395.0,0,0,0,0
1,2620,280.0,395.0,0,0,0,0
1,2636,280.0,395.0,0,0,0,0
1,2652,280.0,390.0,0,0,0,-5
1,2668,280.0,385.0,0,0,0,-5
1,2685,280.0,380.0,0,0,0,-5
1,2702,280.0,375.0,0,0,0,-5
1,2718,280.0,370.0,0,0,0,-5
1,2735,280.0,365.0,0,0,0,-5
1,2752,280.0,360.0,0,0,0,-5
1,2769,280.0,360.0,0,0,0,0
1,2786,280.0,360.0,0,0,0,0
1,2804,280.0,360.0,0,0,0,0
1,2820,275.0,360.0,0,0,-5,0
1,2837,270.0,360.0,0,0,-5,0
1,2854,265.0,360.0,0,0,-5,0
1,2871,260.0,360.0,0,0,-5,0
1,2889,255.0,360.0,0,0,-5,0
1,2906,250.0,360.0,0,0,-5,0
1,2923,250.0,360.0,0,0,0,0
1,2939,250.0,360.0,0,0,0,0
1,2956,250.0,360.0,0,0,0,0
1,2973,250.0,355.0,0,0,0,-5
1,2990,250.0,350.0,0,0,0,-5
1,3006,250.0,345.0,0,0,0,-5
1,3023,250.0,340.0,0,0,0,-5
1,3040,250.0,335.0,0,0,0,-5
1,3057,250.0,330.0,0,0,0,-5
1,3074,250.0,325.0,0,0,0,-5
1,3091,250.0,325.0,0,0,0,0
1,3108,250.0,325.0,0,0,0,0
1,3125,245.0,325.0,0,0,-5,0
1,3142,240.0,325.0,0,0,-5,0
1,3159,235.0,325.0,0,0,-5,0
1,3176,230.0,325.0,0,0,-5,0
1,3193,225.0,325.0,0,0,-5,0
1,3210,220.0,325.0,0,0,-5,0
1,3227,220.0,325.0,0,0,0,0
1,3244,220.0,325.0,0,0,0,0
